subID,condition,Hz,frontal,central,parietal,occipital,ln_Hz,ln_frontal,ln_central,ln_parietal,ln_occipital
oa01,eo,12.961,0.63868,0.451966667,0.59012,1.015233333,2.561944848,-0.448351733,-0.794146848,-0.527429373,0.015118471
oa01,eo,13.958,0.58964,0.440066667,0.66178,0.975666667,2.636052821,-0.528243098,-0.820829048,-0.412822105,-0.024634281
oa01,eo,14.955,0.51562,0.387066667,0.6465,0.955066667,2.705045692,-0.662385219,-0.949158335,-0.436182081,-0.045974133
oa01,eo,15.952,0.41096,0.334866667,0.52588,0.8109,2.769584213,-0.889259393,-1.094022836,-0.642682229,-0.209610537
oa01,eo,16.949,0.40874,0.331666667,0.5424,0.783,2.830208835,-0.894676022,-1.10362483,-0.611751542,-0.244622583
oa01,eo,17.946,0.3836,0.308433333,0.52122,0.717233333,2.887367249,-0.958154936,-1.176249558,-0.651583061,-0.332354061
oa01,eo,18.943,0.3827,0.309733333,0.58976,0.693566667,2.94143447,-0.960503887,-1.172043567,-0.528039605,-0.365907913
oa01,eo,19.94,0.33134,0.250066667,0.44154,0.563866667,2.992727765,-1.10461024,-1.38602773,-0.817486663,-0.572937462
oa01,eo,20.937,0.31028,0.2484,0.3993,0.5407,3.041517929,-1.170280163,-1.392714929,-0.918042265,-0.614890683
oa01,eo,21.934,0.28312,0.230633333,0.37066,0.475266667,3.088037944,-1.261884443,-1.466926131,-0.992470079,-0.743879229
oa01,eo,22.931,0.28014,0.2046,0.30826,0.460366667,3.132489707,-1.272465801,-1.586698425,-1.176811696,-0.775732006
oa01,eo,23.928,0.28498,0.205333333,0.3024,0.432066667,3.175049321,-1.255336277,-1.583120604,-1.196004635,-0.839175382
oa01,eo,24.925,0.28798,0.2002,0.28414,0.4075,3.215871316,-1.244864246,-1.608438412,-1.258288205,-0.897714346
oa01,eo,25.922,0.27208,0.1828,0.27,0.3835,3.255092029,-1.301659138,-1.69936262,-1.30933332,-0.958415658
oa01,eo,26.919,0.30604,0.2103,0.2862,0.376233333,3.292832357,-1.184039467,-1.559220196,-1.251064412,-0.977545761
oa01,eo,27.916,0.33316,0.2199,0.27488,0.379533333,3.329200001,-1.099132424,-1.514582381,-1.29142064,-0.968812851
oa01,eo,28.913,0.35158,0.231466667,0.24964,0.325333333,3.364291321,-1.045317998,-1.463319404,-1.387735399,-1.122904981
oa01,eo,29.91,0.27134,0.193,0.2237,0.2975,3.398192873,-1.304382632,-1.64506509,-1.49744941,-1.212341054
oa02,ec,0.997,255.92498,60.69203333,524.78376,495.5582333,-0.003004509,5.544884355,4.105812443,6.262986292,6.205684871
